date,iir,cpi,ppi,m1,m2,fai,pmi,pmim,pr,pc
2006/2/28,0.336581487,-0.371426181,-0.343365613,0.156891514,0.420633907,0.047626247,-0.353062184,-0.079768589,-0.323005289,-1.248456964
2006/3/31,0.252790976,-0.335469079,-0.40626417,0.153017313,0.33281144,0.318301649,0.213432975,0.924492213,-0.544372451,-0.45112383
2006/4/30,0.198088077,-0.083568727,-0.475219421,0.105019027,0.306707045,0.257590075,1.101554786,0.470672216,0.56245454,-0.195534165
2006/5/31,0.179214857,0.033135552,-0.284726066,0.266779969,0.269026667,0.288052623,0.274148779,-0.283764234,-0.184168306,-0.674836559
2006/6/30,0.208266202,0.077673662,-0.000606104,0.203908187,0.052053874,0.329226886,0.117735956,0.126212416,-0.496938483,-0.028140614
2006/7/31,0.320438263,-0.147029486,0.016141119,0.355079245,0.031902125,0.22069995,-0.372592363,0.086708861,0.87989431,-0.294374731
2006/8/31,0.124845893,0.004449766,0.00849288,0.354283388,-0.089026347,0.040114634,-0.214945514,-0.70919105,0.424670693,-0.549366868
2006/9/30,0.068027231,0.08900428,0.056685189,0.334652267,-0.316595238,-0.077081864,0.84083247,1.745501825,-0.272040714,0.059539467
2006/10/31,-0.000486004,0.016756579,-0.037927495,0.358728929,-0.24989778,-0.245211699,0.247797177,0.649914507,0.223694442,0.370778392
2006/11/30,-0.089100921,0.275556842,-0.047085674,0.381165644,-0.294901507,-0.259391785,0.541255467,1.106038029,-0.422848482,0.180554928
2006/12/31,-0.215647295,0.715059455,0.030076042,0.431778886,-0.233536402,-0.464313196,0.270712359,1.270313766,-0.197616887,0.890370794
2007/1/31,0.007567471,0.409161598,0.059550308,0.676601152,-0.389605406,-0.462339481,0.351095455,1.342830279,0.579687543,-2.127832708
2007/2/28,-0.102425649,0.624430501,-0.069649086,0.68339464,-0.028528991,-0.469525336,-0.33434612,0.003616493,-0.382042957,2.596911728
2007/3/31,-0.063204333,0.824208183,-0.042125115,0.433407922,-0.114629208,-0.283048987,0.051227085,1.014826051,-0.187878255,-0.343761013
2007/4/30,0.026336998,0.567402525,-0.003515234,0.386977232,-0.091649467,-0.211234241,0.78806071,0.755571244,0.839594592,0.09938926
2007/5/31,0.118566406,0.684106803,-0.044917987,0.234278486,-0.12915762,-0.13543374,0.140016985,0.473650255,0.471046121,0.950628178
2007/6/30,0.240727279,1.077841412,-0.119568242,0.359361422,-0.04688941,-0.03297851,-0.15676632,0.25360629,0.180471775,0.548344262
2007/7/31,0.052283912,1.551531262,-0.146996192,0.302826056,0.289550781,0.021910469,-0.422501868,0.811695818,0.095296014,0.492061791
2007/8/31,0.200901446,1.784920804,-0.08324831,0.47969104,0.209611868,0.076982859,-0.264855019,0.791740414,0.214506964,0.605756367
2007/9/30,0.244120064,1.410346588,-0.047300718,0.327702593,0.255277999,0.063415965,0.15457678,-0.603177966,1.135207324,0.259657737
